filename,path,width,height,class,xmin,ymin,xmax,ymax
4728.jpg,UECFOOD256/48/4728.jpg,500,375,sashimi,21,11,475,345
333327.jpg,UECFOOD256/253/333327.jpg,280,291,steamed spareribs,6,23,271,274
15842.jpg,UECFOOD256/1/15842.jpg,600,450,rice,191,43,600,450
22335.jpg,UECFOOD256/117/22335.jpg,600,399,tiramisu,1,1,596,397
103424.jpg,UECFOOD256/157/103424.jpg,433,577,oshiruko,51,161,376,454
158461.jpg,UECFOOD256/171/158461.jpg,612,408,moon cake,59,42,558,357
99320.jpg,UECFOOD256/136/99320.jpg,577,433,yudofu,18,66,566,306
73314.jpg,UECFOOD256/110/73314.jpg,500,500,paella,50,33,465,464
41093.jpg,UECFOOD256/152/41093.jpg,500,500,rice gratin,9,10,496,472
101.jpg,UECFOOD256/104/101.jpg,500,375,almond jelly,51,4,478,340
138934.jpg,UECFOOD256/146/138934.jpg,612,408,scone,53,35,560,387
186837.jpg,UECFOOD256/125/186837.jpg,611,408,zoni,87,102,460,370
309575.jpg,UECFOOD256/199/309575.jpg,500,500,Rice with roast duck,78,85,493,487
8614.jpg,UECFOOD256/81/8614.jpg,200,150,steamed meat dumpling,0,0,200,150
2486.jpg,UECFOOD256/25/2486.jpg,800,600,tensin noodle,47,94,760,470
226692.jpg,UECFOOD256/220/226692.jpg,460,438,spam musubi,18,67,428,427
187526.jpg,UECFOOD256/131/187526.jpg,500,375,namero,10,14,468,337
7639.jpg,UECFOOD256/72/7639.jpg,240,180,chilled noodle,0,0,240,180
224123.jpg,UECFOOD256/225/224123.jpg,500,332,churro,18,19,484,327
154725.jpg,UECFOOD256/163/154725.jpg,577,433,parfait,97,9,488,353
49402.jpg,UECFOOD256/165/49402.jpg,610,409,lamb kebabs,5,47,596,395
8723.jpg,UECFOOD256/82/8723.jpg,230,230,omelet with fried rice,14,46,221,147
294764.jpg,UECFOOD256/224/294764.jpg,500,500,brownie,7,29,482,483
186545.jpg,UECFOOD256/127/186545.jpg,500,500,fine white noodles,6,10,478,481
327833.jpg,UECFOOD256/247/327833.jpg,433,577,three cup chicken,8,52,414,492
6217.jpg,UECFOOD256/62/6217.jpg,480,800,dried fish,58,230,432,698
8025.jpg,UECFOOD256/75/8025.jpg,702,591,boiled chicken and vegetables,75,113,587,432
12128.jpg,UECFOOD256/89/12128.jpg,298,252,Japanese tofu and vegetable chowder,2,10,293,252
195980.jpg,UECFOOD256/142/195980.jpg,500,500,ham cutlet,3,10,370,464
231827.jpg,UECFOOD256/231/231827.jpg,578,432,gulai,19,14,563,379
116204.jpg,UECFOOD256/201/116204.jpg,562,444,Wonton soup,38,59,544,401
175841.jpg,UECFOOD256/178/175841.jpg,462,540,glutinous oil rice,4,69,434,387
5591.jpg,UECFOOD256/115/5591.jpg,500,500,champon,7,56,479,483
16513.jpg,UECFOOD256/42/16513.jpg,640,377,jiaozi,9,15,629,338
21952.jpg,UECFOOD256/129/21952.jpg,360,240,pot au feu,49,9,315,226
171677.jpg,UECFOOD256/165/171677.jpg,432,578,lamb kebabs,27,113,422,529
219072.jpg,UECFOOD256/219/219072.jpg,612,407,laulau,0,1,608,403
139987.jpg,UECFOOD256/195/139987.jpg,577,433,charcoal-boiled pork neck,18,9,544,429
185126.jpg,UECFOOD256/124/185126.jpg,577,433,samul,12,7,564,423
13334.jpg,UECFOOD256/93/13334.jpg,640,480,kinpira-style sauteed burdock,8,0,636,464
5989.jpg,UECFOOD256/60/5989.jpg,170,120,hambarg steak,4,8,167,116
12979.jpg,UECFOOD256/98/12979.jpg,400,300,french fries,5,26,312,226
1082.jpg,UECFOOD256/11/1082.jpg,280,190,bibimbap,21,4,255,183
1853.jpg,UECFOOD256/19/1853.jpg,416,312,sandwiches,0,50,416,312
81270.jpg,UECFOOD256/199/81270.jpg,577,433,Rice with roast duck,21,18,488,425
20177.jpg,UECFOOD256/129/20177.jpg,500,500,pot au feu,4,10,496,470
270814.jpg,UECFOOD256/240/270814.jpg,570,437,bak kut teh,62,49,505,395
168166.jpg,UECFOOD256/210/168166.jpg,612,407,Steamed rice roll,103,132,464,301
249546.jpg,UECFOOD256/209/249546.jpg,577,433,Fried spring rolls,36,3,562,387
25074.jpg,UECFOOD256/135/25074.jpg,603,400,clear soup,75,20,540,370
6312.jpg,UECFOOD256/63/6312.jpg,360,270,ginger pork saute,70,36,360,270
283.jpg,UECFOOD256/3/283.jpg,460,613,pilaf,0,141,460,593
106480.jpg,UECFOOD256/160/106480.jpg,577,433,cream puff,37,25,560,411
4375.jpg,UECFOOD256/44/4375.jpg,480,360,teriyaki grilled fish,72,198,243,285
329966.jpg,UECFOOD256/254/329966.jpg,612,408,chinese pumpkin pie,118,68,489,329
7668.jpg,UECFOOD256/72/7668.jpg,186,140,chilled noodle,4,0,172,137
9295.jpg,UECFOOD256/17/9295.jpg,480,360,hamburger,48,31,367,291
3362.jpg,UECFOOD256/108/3362.jpg,500,375,kamameshi,0,7,489,371
12772.jpg,UECFOOD256/96/12772.jpg,600,450,dipping noodles,6,86,597,433
15903.jpg,UECFOOD256/132/15903.jpg,433,577,french bread,2,4,428,574
259260.jpg,UECFOOD256/241/259260.jpg,500,356,curry puff,9,8,468,350
198397.jpg,UECFOOD256/140/198397.jpg,500,500,pork fillet cutlet,0,185,476,485
204194.jpg,UECFOOD256/211/204194.jpg,433,576,Shrimp patties,1,184,428,571
338170.jpg,UECFOOD256/256/338170.jpg,433,577,hot & sour soup,6,64,426,550
337913.jpg,UECFOOD256/255/337913.jpg,433,577,eight treasure rice,109,110,363,430
5142.jpg,UECFOOD256/51/5142.jpg,400,601,sweet and sour pork,0,311,321,587
11245.jpg,UECFOOD256/27/11245.jpg,480,360,spaghetti,18,24,433,358
6823.jpg,UECFOOD256/68/6823.jpg,280,376,egg sunny-side up,0,27,280,273
4890.jpg,UECFOOD256/49/4890.jpg,400,310,grilled pacific saury,2,62,399,209
10798.jpg,UECFOOD256/124/10798.jpg,433,577,samul,4,48,426,555
250854.jpg,UECFOOD256/239/250854.jpg,500,334,kaya toast,46,37,443,303
34936.jpg,UECFOOD256/141/34936.jpg,500,500,chicken cutlet,9,25,496,475
5936.jpg,UECFOOD256/59/5936.jpg,640,480,seasoned beef with potatoes,0,0,640,480
1022.jpg,UECFOOD256/11/1022.jpg,190,140,bibimbap,0,6,169,140
1883.jpg,UECFOOD256/19/1883.jpg,600,450,sandwiches,75,129,528,378
6452.jpg,UECFOOD256/64/6452.jpg,240,180,spicy chili-flavored tofu,0,0,240,180
3538.jpg,UECFOOD256/36/3538.jpg,400,300,miso soup,0,0,400,300
315176.jpg,UECFOOD256/198/315176.jpg,500,500,Barbecued red pork in sauce with rice,17,54,475,489
265242.jpg,UECFOOD256/188/265242.jpg,577,433,beef in oyster sauce,28,14,551,409
254251.jpg,UECFOOD256/239/254251.jpg,333,500,kaya toast,48,66,294,445
4555.jpg,UECFOOD256/46/4555.jpg,640,480,grilled salmon,121,130,384,193
61024.jpg,UECFOOD256/160/61024.jpg,537,465,cream puff,63,11,471,441
10870.jpg,UECFOOD256/10/10870.jpg,360,480,tempura bowl,0,25,360,456
122211.jpg,UECFOOD256/189/122211.jpg,500,500,pork satay,93,120,481,483
4134.jpg,UECFOOD256/42/4134.jpg,160,160,jiaozi,0,0,160,160
5502.jpg,UECFOOD256/55/5502.jpg,320,240,fried chicken,192,82,296,184
146649.jpg,UECFOOD256/155/146649.jpg,432,578,oatmeal,16,77,426,546
11257.jpg,UECFOOD256/20/11257.jpg,480,360,udon noodle,19,1,459,360
258844.jpg,UECFOOD256/241/258844.jpg,577,433,curry puff,21,34,555,400
11426.jpg,UECFOOD256/9/11426.jpg,480,360,fried rice,70,36,357,360
254491.jpg,UECFOOD256/239/254491.jpg,407,613,kaya toast,7,296,384,600
2077.jpg,UECFOOD256/21/2077.jpg,320,214,tempura udon,40,18,270,206
36601.jpg,UECFOOD256/139/36601.jpg,500,500,pork loin cutlet,95,64,498,416
7872.jpg,UECFOOD256/74/7872.jpg,400,267,simmered pork,25,0,400,267
198977.jpg,UECFOOD256/156/198977.jpg,500,500,fried pork dumplings served in soup,14,18,492,483
146017.jpg,UECFOOD256/155/146017.jpg,480,455,oatmeal,12,11,460,430
6910.jpg,UECFOOD256/36/6910.jpg,500,375,miso soup,348,135,500,283
625.jpg,UECFOOD256/7/625.jpg,200,150,sushi,0,0,200,150
212313.jpg,UECFOOD256/218/212313.jpg,500,500,malasada,7,2,490,487
326714.jpg,UECFOOD256/249/326714.jpg,422,591,salt & pepper fried shrimp with shell,18,83,377,453
69183.jpg,UECFOOD256/103/69183.jpg,500,500,mango pudding,4,108,490,377
13158.jpg,UECFOOD256/128/13158.jpg,600,337,minestrone,93,36,510,269
2397.jpg,UECFOOD256/25/2397.jpg,500,375,tensin noodle,35,30,470,335
150787.jpg,UECFOOD256/159/150787.jpg,577,432,popcorn,12,5,564,430
883.jpg,UECFOOD256/104/883.jpg,577,433,almond jelly,10,5,540,360
12125.jpg,UECFOOD256/89/12125.jpg,400,300,Japanese tofu and vegetable chowder,17,18,389,285
232138.jpg,UECFOOD256/231/232138.jpg,300,294,gulai,9,9,299,263
2634.jpg,UECFOOD256/27/2634.jpg,500,333,spaghetti,10,84,500,284
276998.jpg,UECFOOD256/223/276998.jpg,500,500,lumpia,6,47,482,468
202734.jpg,UECFOOD256/208/202734.jpg,572,437,Vermicelli noodles with snails,60,54,554,409
15458.jpg,UECFOOD256/134/15458.jpg,500,500,broiled eel bowl,15,20,481,481
3102.jpg,UECFOOD256/108/3102.jpg,543,459,kamameshi,67,47,495,367
279098.jpg,UECFOOD256/222/279098.jpg,500,500,adobo,21,29,467,479
340963.jpg,UECFOOD256/250/340963.jpg,577,433,baked salmon,5,5,553,422
233860.jpg,UECFOOD256/234/233860.jpg,400,300,mie goreng,12,18,395,293
322961.jpg,UECFOOD256/244/322961.jpg,577,433,kung pao chicken,30,7,566,423
43331.jpg,UECFOOD256/142/43331.jpg,577,433,ham cutlet,156,14,573,286
173841.jpg,UECFOOD256/179/173841.jpg,560,420,trunip pudding,38,45,523,360
873.jpg,UECFOOD256/9/873.jpg,480,360,fried rice,0,33,444,360
5708.jpg,UECFOOD256/57/5708.jpg,280,373,nanbanzuke,18,101,267,284
6255.jpg,UECFOOD256/62/6255.jpg,320,320,dried fish,0,84,320,248
236649.jpg,UECFOOD256/223/236649.jpg,612,407,lumpia,99,5,481,305
4994.jpg,UECFOOD256/50/4994.jpg,640,480,sukiyaki,0,0,640,480
13501.jpg,UECFOOD256/97/13501.jpg,640,480,hot dog,9,73,636,397
63587.jpg,UECFOOD256/188/63587.jpg,577,433,beef in oyster sauce,21,7,564,413
44536.jpg,UECFOOD256/166/44536.jpg,500,476,"dish consisting of stir-fried potato, eggplant and green pepper",39,29,465,426
189152.jpg,UECFOOD256/134/189152.jpg,432,577,broiled eel bowl,4,24,429,564
6115.jpg,UECFOOD256/61/6115.jpg,240,180,steak,0,75,240,162
12032.jpg,UECFOOD256/88/12032.jpg,336,451,macaroni salad,0,93,336,430
3844.jpg,UECFOOD256/39/3844.jpg,640,480,oden,44,0,602,448
263450.jpg,UECFOOD256/215/263450.jpg,577,433,Glutinous Rice Balls,3,46,539,431
128440.jpg,UECFOOD256/114/128440.jpg,577,433,pancake,102,75,479,400
10999.jpg,UECFOOD256/79/10999.jpg,480,360,shrimp with chill source,10,13,472,351
336463.jpg,UECFOOD256/252/336463.jpg,433,577,winter melon soup,9,57,423,540
9125.jpg,UECFOOD256/115/9125.jpg,600,337,champon,35,4,579,331
13118.jpg,UECFOOD256/100/13118.jpg,439,329,goya chanpuru,0,0,439,329
3309.jpg,UECFOOD256/34/3309.jpg,600,400,sauteed spinach,135,40,600,400
3672.jpg,UECFOOD256/37/3672.jpg,230,230,potage,0,26,230,197
70279.jpg,UECFOOD256/103/70279.jpg,500,500,mango pudding,29,33,453,456
52571.jpg,UECFOOD256/179/52571.jpg,577,433,trunip pudding,77,54,479,400
272268.jpg,UECFOOD256/219/272268.jpg,500,500,laulau,9,12,489,475
143724.jpg,UECFOOD256/153/143724.jpg,577,433,lasagna,46,10,566,353
6037.jpg,UECFOOD256/60/6037.jpg,272,204,hambarg steak,43,59,221,162
111752.jpg,UECFOOD256/158/111752.jpg,500,500,muffin,15,10,495,491
146345.jpg,UECFOOD256/155/146345.jpg,432,578,oatmeal,14,31,402,549
179.jpg,UECFOOD256/2/179.jpg,337,252,eels on rice,0,27,336,252
7948.jpg,UECFOOD256/75/7948.jpg,300,225,boiled chicken and vegetables,27,34,277,180
37231.jpg,UECFOOD256/149/37231.jpg,577,433,nachos,32,28,564,427
133294.jpg,UECFOOD256/199/133294.jpg,578,432,Rice with roast duck,37,70,498,370
15800.jpg,UECFOOD256/112/15800.jpg,500,500,kushikatu,21,58,489,456
139345.jpg,UECFOOD256/146/139345.jpg,500,500,scone,0,47,498,495
14697.jpg,UECFOOD256/23/14697.jpg,800,450,ramen noodle,21,2,601,412
14799.jpg,UECFOOD256/56/14799.jpg,640,480,sirloin cutlet,246,36,560,314
925.jpg,UECFOOD256/36/925.jpg,210,280,miso soup,147,28,210,85
328590.jpg,UECFOOD256/247/328590.jpg,350,263,three cup chicken,96,10,341,219
199547.jpg,UECFOOD256/156/199547.jpg,500,500,fried pork dumplings served in soup,10,39,464,462
5941.jpg,UECFOOD256/108/5941.jpg,578,432,kamameshi,41,37,505,363
60579.jpg,UECFOOD256/181/60579.jpg,433,577,lemon fig jelly,13,281,405,555
12053.jpg,UECFOOD256/88/12053.jpg,640,480,macaroni salad,20,64,564,408
2919.jpg,UECFOOD256/30/2919.jpg,250,250,gratin,6,35,245,215
307495.jpg,UECFOOD256/184/307495.jpg,500,500,Thai papaya salad,90,102,398,354
4306.jpg,UECFOOD256/44/4306.jpg,400,260,teriyaki grilled fish,31,54,339,222
50851.jpg,UECFOOD256/165/50851.jpg,552,452,lamb kebabs,5,20,517,438
2154.jpg,UECFOOD256/22/2154.jpg,400,300,soba noodle,0,0,400,300
2002.jpg,UECFOOD256/21/2002.jpg,640,480,tempura udon,108,28,548,448
78254.jpg,UECFOOD256/132/78254.jpg,612,407,french bread,21,10,579,398
961.jpg,UECFOOD256/10/961.jpg,170,125,tempura bowl,29,25,138,111
290341.jpg,UECFOOD256/224/290341.jpg,500,500,brownie,20,37,471,445
335393.jpg,UECFOOD256/251/335393.jpg,433,577,braised pork meat ball with napa cabbage,47,26,363,526
269674.jpg,UECFOOD256/215/269674.jpg,640,360,Glutinous Rice Balls,46,49,516,330
4301.jpg,UECFOOD256/44/4301.jpg,250,167,teriyaki grilled fish,56,62,170,124
15073.jpg,UECFOOD256/7/15073.jpg,600,399,sushi,82,90,520,340
15422.jpg,UECFOOD256/126/15422.jpg,432,578,french toast,1,60,429,570
59481.jpg,UECFOOD256/175/59481.jpg,577,433,minced pork rice,41,45,528,375
2783.jpg,UECFOOD256/28/2783.jpg,320,240,Japanese-style pancake,36,36,280,206
156328.jpg,UECFOOD256/168/156328.jpg,500,500,hot pot,7,37,493,435
2037.jpg,UECFOOD256/21/2037.jpg,640,480,tempura udon,32,32,570,464
190233.jpg,UECFOOD256/136/190233.jpg,612,408,yudofu,5,6,583,382
8040.jpg,UECFOOD256/76/8040.jpg,450,448,sashimi bowl,21,45,424,414
12395.jpg,UECFOOD256/92/12395.jpg,500,334,beef bowl,0,0,435,332
188569.jpg,UECFOOD256/133/188569.jpg,577,433,rice gruel,95,23,567,411
14723.jpg,UECFOOD256/65/14723.jpg,320,240,yakitori,92,6,242,136
184094.jpg,UECFOOD256/111/184094.jpg,577,433,tanmen,75,18,562,387
81311.jpg,UECFOOD256/120/81311.jpg,577,433,shortcake,115,63,468,398
34923.jpg,UECFOOD256/141/34923.jpg,577,433,chicken cutlet,10,149,567,409
63019.jpg,UECFOOD256/160/63019.jpg,578,432,cream puff,7,5,532,414
341449.jpg,UECFOOD256/247/341449.jpg,500,500,three cup chicken,39,37,462,460
220489.jpg,UECFOOD256/191/220489.jpg,500,375,noodles with fish curry,21,18,481,362
57953.jpg,UECFOOD256/178/57953.jpg,500,375,glutinous oil rice,32,29,450,364
201317.jpg,UECFOOD256/192/201317.jpg,500,500,Pork Sticky Noodles,17,16,481,483
11551.jpg,UECFOOD256/16/11551.jpg,480,360,chip butty,27,6,466,360
5511.jpg,UECFOOD256/55/5511.jpg,320,230,fried chicken,54,56,266,206
92157.jpg,UECFOOD256/148/92157.jpg,612,407,tacos,28,22,568,396
179085.jpg,UECFOOD256/186/179085.jpg,577,433,"hot and sour, fish and vegetable ragout",21,16,567,425
59541.jpg,UECFOOD256/175/59541.jpg,584,428,minced pork rice,45,49,531,401
330221.jpg,UECFOOD256/246/330221.jpg,470,285,eggplant with garlic sauce,36,7,428,268
204628.jpg,UECFOOD256/211/204628.jpg,577,433,Shrimp patties,16,16,564,422
269424.jpg,UECFOOD256/232/269424.jpg,612,408,laksa,28,56,583,375
17048.jpg,UECFOOD256/112/17048.jpg,550,417,kushikatu,12,19,543,404
367.jpg,UECFOOD256/4/367.jpg,800,555,chicken-'n'-egg on rice,40,58,573,528
167083.jpg,UECFOOD256/105/167083.jpg,500,500,jjigae,26,37,471,447
3976.jpg,UECFOOD256/40/3976.jpg,440,320,omelet,24,66,381,248
12069.jpg,UECFOOD256/89/12069.jpg,320,269,Japanese tofu and vegetable chowder,12,13,298,235
3569.jpg,UECFOOD256/36/3569.jpg,220,220,miso soup,5,23,211,214
68860.jpg,UECFOOD256/103/68860.jpg,500,500,mango pudding,6,37,484,445
10906.jpg,UECFOOD256/22/10906.jpg,288,480,soba noodle,0,103,288,447
171431.jpg,UECFOOD256/172/171431.jpg,577,433,custard tart,34,50,528,420
3916.jpg,UECFOOD256/40/3916.jpg,800,600,omelet,21,73,786,557
8339.jpg,UECFOOD256/79/8339.jpg,380,380,shrimp with chill source,53,65,318,315
321080.jpg,UECFOOD256/207/321080.jpg,500,500,Hue beef rice vermicelli soup,21,29,490,477
331116.jpg,UECFOOD256/248/331116.jpg,444,563,bean curd family style,30,220,412,494
178495.jpg,UECFOOD256/181/178495.jpg,611,408,lemon fig jelly,15,25,584,394
4744.jpg,UECFOOD256/48/4744.jpg,800,600,sashimi,38,0,800,560
336054.jpg,UECFOOD256/251/336054.jpg,433,577,braised pork meat ball with napa cabbage,23,91,416,504
73272.jpg,UECFOOD256/113/73272.jpg,432,578,yellow curry,6,48,415,534
333516.jpg,UECFOOD256/250/333516.jpg,440,324,baked salmon,0,5,434,317
185186.jpg,UECFOOD256/124/185186.jpg,577,433,samul,34,54,535,413
184233.jpg,UECFOOD256/113/184233.jpg,577,433,yellow curry,194,12,533,400
250308.jpg,UECFOOD256/209/250308.jpg,591,422,Fried spring rolls,22,22,579,404
3217.jpg,UECFOOD256/102/3217.jpg,500,500,okinawa soba,1,6,498,491
21595.jpg,UECFOOD256/117/21595.jpg,577,433,tiramisu,7,12,522,427
59450.jpg,UECFOOD256/175/59450.jpg,500,334,minced pork rice,45,23,479,306
63643.jpg,UECFOOD256/193/63643.jpg,300,402,Pork with lemon,5,63,290,338
258438.jpg,UECFOOD256/241/258438.jpg,500,500,curry puff,21,60,489,433
9883.jpg,UECFOOD256/107/9883.jpg,500,500,dry curry,26,93,496,481
336674.jpg,UECFOOD256/252/336674.jpg,500,441,winter melon soup,78,71,428,339
4503.jpg,UECFOOD256/46/4503.jpg,320,240,grilled salmon,136,130,300,174
40114.jpg,UECFOOD256/158/40114.jpg,433,577,muffin,43,125,382,504
36917.jpg,UECFOOD256/139/36917.jpg,577,433,pork loin cutlet,7,52,430,342
205881.jpg,UECFOOD256/205/205881.jpg,500,375,coconut milk soup,17,10,493,367
259927.jpg,UECFOOD256/211/259927.jpg,611,408,Shrimp patties,17,27,584,402
267160.jpg,UECFOOD256/213/267160.jpg,612,408,Coconut milk-flavored crepes with shrimp and beef,13,11,604,394
16073.jpg,UECFOOD256/132/16073.jpg,500,500,french bread,14,10,484,483
199161.jpg,UECFOOD256/156/199161.jpg,577,433,fried pork dumplings served in soup,21,14,553,422
6870.jpg,UECFOOD256/68/6870.jpg,450,339,egg sunny-side up,50,0,333,293
1635.jpg,UECFOOD256/17/1635.jpg,320,213,hamburger,126,52,320,190
3894.jpg,UECFOOD256/40/3894.jpg,600,450,omelet,21,72,600,450
13414.jpg,UECFOOD256/36/13414.jpg,400,300,miso soup,289,130,400,259
12776.jpg,UECFOOD256/96/12776.jpg,350,263,dipping noodles,0,37,345,260
